case_id,sample_role,frame,spell_id,spell_name,player_x,player_y,power,action,mask,issued_action_after_hit_detection,active_bullets,active_lasers,pipeline_clearance,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,nearest_bullet_clearance,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_pipeline_warning_lead_frames,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,bomb_input_verified_absent
EASY-S7-F10519-T1,canonical_fresh_attempt_causal_sample,10519,147,薬符「壺中の大銀河」,8.0,345.41766357421875,128.0,up_fast,17,up,665,0,-0.26909828186035156,-0.611846923828125,,-1.3522014617919922,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,0,13,0,,playfield_boundary;fast_mode,True
EASY-S7-F10843-T1,post_respawn_discovery_sample,10843,147,薬符「壺中の大銀河」,376.0,410.8575439453125,112.0,up_right,149,up,580,0,0.22917801141738892,0.22917801141738892,,4.703948974609375,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,7,0,,playfield_boundary,True
EASY-S7-F11417-T1,post_respawn_discovery_sample,11417,147,薬符「壺中の大銀河」,15.319308280944824,414.62530517578125,96.0,down_right_fast,161,down_left_fast,385,0,1.1741885244846344,1.1741885244846344,,4.378061724850404,,sensor_gap_or_unmodeled_hazard,unresolved_planner_failure,0,0,0,,fast_mode,True
EASY-S7-F11818-T1,post_respawn_discovery_sample,11818,147,薬符「壺中の大銀河」,344.0,432.0,80.0,left_fast,65,up_left_fast,603,0,1.619621068239212,-7.819183349609375,,1.3849526946145696,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,13,13,0,,playfield_boundary;fast_mode,True
EASY-S7-F19278-T1,post_respawn_discovery_sample,19278,151,難題「龍の頸の玉  -五色の弾丸-」,376.0,432.0,65.0,left_fast,65,down_left,21,195,-4.261802613735199,-4.261802613735199,,28.37582106563584,-0.7308625152504828,observed_laser_overlap,robust_action_set_exhausted_before_hit,0,11,0,,playfield_boundary;fast_mode,True
EASY-S7-F19846-T1,post_respawn_discovery_sample,19846,151,難題「龍の頸の玉  -五色の弾丸-」,349.2668762207031,429.70001220703125,50.0,up,21,up_left_fast,29,215,-0.1396847665309906,-0.1396847665309906,,1.7895326501570545,7.129013891855937,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,7,0,,playfield_boundary,True
EASY-S7-F35028-T1,post_respawn_discovery_sample,35028,,,367.085205078125,429.17156982421875,34.0,up_left_fast,81,up_left_fast,369,0,-1.0673275887966156,-1.0673275887966156,,10.218505859375,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,0,4,0,,playfield_boundary;fast_mode,True
EASY-S7-F53738-T1,post_respawn_discovery_sample,53738,167,難題「蓬莱の弾の枝  -虹色の弾幕-」,16.131729125976562,363.64691162109375,19.0,up_fast,17,up,305,0,1.2478059828281403,0.02789175510406494,,1.6397685217692695,,sensor_gap_or_unmodeled_hazard,unresolved_planner_failure,0,0,0,,fast_mode,True
EASY-S7-F62118-T1,post_respawn_discovery_sample,62118,175,「永夜返し  -子の刻-」,56.57177734375,429.70001220703125,9.0,up,21,right_fast,892,0,-5.532876491546631,-5.532876491546631,,1.534393310546875,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,5,9,0,,playfield_boundary,True
