case_id,frame,trace_index,stage_route_index,stage_label,player_x,player_y,bombs,power,observed_bomb_cost,post_hit_bomb_stock_decrease,deathbomb_requested,active_bullets,active_lasers,active_items,pipeline_clearance_at_hit,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,action_lag,action,nearest_bullet_slot,nearest_bullet_clearance,nearest_laser_slot,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,spell_id,spell_name,spell_attribution_status
LUN-S1-F23778-T1,23778,0,1,Stage 2,8.0,58.170555114746094,3.0,32.0,0.0,0.0,False,144,0,0,-0.47078247368335724,-0.47078247368335724,,3,down_right,617,-1.1837882995605469,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,8,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S1-F24510-T1,24510,0,1,Stage 2,8.0,432.0,3.0,16.0,0.0,0.0,False,266,0,0,-2.5957737863063812,-2.5957737863063812,,2,up_right,1498,4.975921690285992,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,3,0,,playfield_boundary,,,no_active_spell_at_hit
LUN-S1-F26001-T1,26001,0,1,Stage 2,376.0,427.1209716796875,3.0,2.0,0.0,0.0,False,462,0,0,-2.2180539071559906,-2.2180539071559906,,2,up_fast,736,2.489349365234375,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,6,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S1-F42243-T1,42243,0,1,Stage 2,8.0,432.0,3.0,3.0,0.0,0.0,False,370,0,0,-3.2306282073259354,-3.2306282073259354,,3,up_fast,555,0.78338623046875,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,7,0,,playfield_boundary;fast_mode,24,鷹符「イルスタードダイブ」,resolved_live_spell_state
LUN-S2-F46433-T1,46433,0,2,Stage 3,371.1209716796875,432.0,4.0,25.0,1.0,1.0,False,523,0,0,-3.1850949227809906,-3.1850949227809906,,2,up_fast,639,5.11865234375,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,6,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S2-F53712-T1,53712,0,2,Stage 3,8.152532577514648,432.0,3.0,23.0,0.0,0.0,False,417,0,0,-2.3243896514177322,-2.3243896514177322,,2,up_left_fast,1366,2.956172424849217,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,6,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S2-F60310-T1,60310,0,2,Stage 3,49.41270446777344,432.0,5.0,37.0,2.0,2.0,False,230,0,0,-1.1252270638942719,-1.1252270638942719,,3,right_fast,67,-1.9990234375,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,7,0,,playfield_boundary;fast_mode,38,始符「エフェメラリティ137」,resolved_live_spell_state
LUN-S2-F61104-T1,61104,0,2,Stage 3,347.0294189453125,432.0,4.0,22.0,1.0,1.0,False,235,0,0,-1.1578857451677322,-2.5973256826400757,,4,left_fast,42,-2.25091552734375,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,11,0,,playfield_boundary;fast_mode,38,始符「エフェメラリティ137」,resolved_live_spell_state
LUN-S2-F67048-T1,67048,0,2,Stage 3,8.0,432.0,3.0,19.0,0.0,0.0,False,359,0,0,-2.8893490731716156,-2.8893490731716156,,2,up_fast,1128,4.968287512307862,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,3,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S3-F73042-T1,73042,0,3,Stage 4A / Reimu,192.0,384.0,4.0,11.0,1.0,1.0,False,112,0,0,-3.2982666045427322,-3.2982666045427322,,2,stay+deadline_hold,4,0.99273681640625,,,modeled_committed_prefix_collision,late_collision_after_positive_causal_margin,0,0,,action_lag_over_model,,,no_active_spell_at_hit
