case_id,sample_role,frame,spell_id,spell_name,player_x,player_y,power,action,mask,issued_action_after_hit_detection,active_bullets,active_lasers,pipeline_clearance,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,nearest_bullet_clearance,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_pipeline_warning_lead_frames,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,bomb_input_verified_absent
LUN-S5-F2010-T1,canonical_fresh_attempt_causal_sample,2010,,,356.20098876953125,432.0,128.0,down_right,165,up_right_fast,757,0,-0.7095703184604645,-0.7095703184604645,,1.23602294921875,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,0,240,1770,playfield_boundary,True
LUN-S5-F4208-T1,post_respawn_discovery_sample,4208,,,376.0,432.0,116.0,up,21,right,531,0,-2.8001760244369507,-2.8001760244369507,,6.343414306640625,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,7,239,3969,playfield_boundary,True
LUN-S5-F14423-T1,post_respawn_discovery_sample,14423,,,8.0,432.0,101.0,down_right_fast,161,right_fast,450,0,-1.6288635283708572,-1.6288635283708572,,-0.81207275390625,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,0,11,239,14184,playfield_boundary;fast_mode,True
LUN-S5-F23014-T1,post_respawn_discovery_sample,23014,103,幻波「赤眼催眠(マインドブローイング)」,301.4815673828125,432.0,106.0,up_fast,17,up_fast+deadline_hold,1133,0,-0.5690795928239822,-0.5690795928239822,-7.6531524658203125,1.986297607421875,,modeled_committed_prefix_collision,late_collision_after_positive_causal_margin,0,0,0,,playfield_boundary;corridor_deadline_miss;action_lag_over_model;pool_density_over_1000;fast_mode,True
LUN-S5-F24029-T1,post_respawn_discovery_sample,24029,103,幻波「赤眼催眠(マインドブローイング)」,175.4617462158203,390.63427734375,90.0,down_right_fast,161,down_fast,1013,0,2.8961914032697678,0.6560050249099731,-59.925202613501014,-2.315216064453125,,observed_bullet_overlap,late_collision_after_positive_causal_margin,0,0,0,,corridor_deadline_miss;pool_density_over_1000;fast_mode,True
LUN-S5-F28720-T1,post_respawn_discovery_sample,28720,107,狂視「狂視調律(イリュージョンシーカー)」,139.81185913085938,416.0,76.0,left,69,left+deadline_hold,878,0,-7.512765407562256,-7.512765407562256,3.4174308162740203,-0.1602325439453125,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,25,25,139,28581,action_lag_over_model,True
LUN-S5-F29070-T1,post_respawn_discovery_sample,29070,107,狂視「狂視調律(イリュージョンシーカー)」,177.1396484375,432.0,62.0,down_left,101,down_left+deadline_hold,997,0,-5.01790714263916,-7.65853214263916,,9.254316837840266,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,11,51,29019,playfield_boundary;action_lag_over_model,True
LUN-S5-F29511-T1,post_respawn_discovery_sample,29511,107,狂視「狂視調律(イリュージョンシーカー)」,154.54632568359375,432.0,48.0,down_right_fast,161,down_right_fast+deadline_hold,1000,0,-2.6616121530532837,-7.04647159576416,,-1.2030029296875,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,10,10,40,29471,playfield_boundary;action_lag_over_model;pool_density_over_1000;fast_mode,True
LUN-S5-F29810-T1,post_respawn_discovery_sample,29810,107,狂視「狂視調律(イリュージョンシーカー)」,198.93894958496094,401.0994873046875,40.0,stay,5,stay+deadline_hold,1008,0,-7.854940176010132,-7.854940176010132,-17.713206740044328,3.58892822265625,,modeled_committed_prefix_collision,missing_pre_hit_alive_decision,0,0,0,,corridor_deadline_miss;action_lag_over_model;pool_density_over_1000,True
LUN-S5-F30171-T1,post_respawn_discovery_sample,30171,107,狂視「狂視調律(イリュージョンシーカー)」,192.0,384.0,34.0,stay,5,stay+deadline_hold,997,0,-0.6308221817016602,-6.135234832763672,,1.426116943359375,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,12,27,0,,action_lag_over_model,True
LUN-S5-F30585-T1,post_respawn_discovery_sample,30585,107,狂視「狂視調律(イリュージョンシーカー)」,98.98089599609375,118.98101806640625,26.0,up_left,85,up_left+deadline_hold,993,0,-5.364282131195068,-7.261605262756348,-77.68200844254872,-1.89788818359375,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,0,13,0,,corridor_deadline_miss;action_lag_over_model,True
LUN-S5-F31008-T1,post_respawn_discovery_sample,31008,107,狂視「狂視調律(イリュージョンシーカー)」,184.010009765625,412.0,11.0,stay,5,stay+deadline_hold,1004,0,-4.983105421066284,-7.320672035217285,,-3.43865966796875,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,0,12,48,30960,action_lag_over_model;pool_density_over_1000,True
LUN-S5-F31308-T1,post_respawn_discovery_sample,31308,107,狂視「狂視調律(イリュージョンシーカー)」,192.0,384.0,0.0,stay,5,stay+deadline_hold,1000,0,-2.47573184967041,-7.192208766937256,-32.19238831274615,5.843690539283206,,modeled_committed_prefix_collision,missing_pre_hit_alive_decision,0,0,0,,corridor_deadline_miss;action_lag_over_model;pool_density_over_1000,True
LUN-S5-F36128-T1,post_respawn_discovery_sample,36128,,,8.0,432.0,2.0,right_fast,129,right_fast,423,0,-0.5037471801042557,-0.5037471801042557,,2.897857666015625,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,5,238,35890,playfield_boundary;fast_mode,True
LUN-S5-F37391-T1,post_respawn_discovery_sample,37391,111,懶惰「生神停止(マインドストッパー)」,8.0,400.85394287109375,0.0,left_fast,65,left_fast+deadline_hold,978,0,0.7653108239173889,-2.1221923828125,11.61395263671875,6.067626953125,,sensor_gap_or_unmodeled_hazard,global_viability_kernel_exhausted_before_hit,0,0,197,37194,playfield_boundary;action_lag_over_model;fast_mode,True
LUN-S5-F38135-T1,post_respawn_discovery_sample,38135,111,懶惰「生神停止(マインドストッパー)」,56.146297454833984,349.77606201171875,1.0,up_right,149,up_right+deadline_hold,991,0,-2.497060179710388,-2.497060179710388,-25.952794729272412,4.322878184370963,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,0,198,37937,corridor_deadline_miss;action_lag_over_model,True
LUN-S5-F38881-T1,post_respawn_discovery_sample,38881,111,懶惰「生神停止(マインドストッパー)」,41.819091796875,405.5501403808594,2.0,down_fast,33,down_fast+deadline_hold,1059,0,-1.0178405791521072,-1.0178405791521072,-25.865207951457776,-0.6266632080078125,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,0,0,146,38735,corridor_deadline_miss;action_lag_over_model;pool_density_over_1000;fast_mode,True
LUN-S5-F39635-T1,post_respawn_discovery_sample,39635,111,懶惰「生神停止(マインドストッパー)」,361.8664855957031,404.2950744628906,10.0,stay,5,stay+deadline_hold,1056,0,0.49120473861694336,-11.140090942382812,-25.28492640439284,6.115234375,,sensor_gap_or_unmodeled_hazard,global_viability_kernel_exhausted_before_hit,0,0,167,39468,corridor_deadline_miss;action_lag_over_model;pool_density_over_1000,True
LUN-S5-F40892-T1,post_respawn_discovery_sample,40892,115,散符「真実の月(インビジブルフルムーン)」,136.8003692626953,429.17156982421875,13.0,up_left_fast,81,right_fast,1086,0,1.6087768524885178,-0.8444761633872986,,-1.3972625732421875,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,5,10,238,40654,playfield_boundary;pool_density_over_1000;fast_mode,True
LUN-S5-F41529-T1,post_respawn_discovery_sample,41529,115,散符「真実の月(インビジブルフルムーン)」,188.21417236328125,407.34197998046875,0.0,stay,5,up,956,0,1.107400506734848,1.107400506734848,,-1.1221771240234375,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,0,0,240,41289,,True
LUN-S5-F42187-T1,post_respawn_discovery_sample,42187,115,散符「真実の月(インビジブルフルムーン)」,261.2513732910156,391.48419189453125,1.0,down_right,165,down_fast,955,0,30.39026117324829,9.045034885406494,,-0.541473388671875,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,0,0,236,41951,,True
LUN-S5-F43060-T1,post_respawn_discovery_sample,43060,115,散符「真実の月(インビジブルフルムーン)」,269.5470275878906,409.05560302734375,0.0,stay,5,up_fast,956,0,-1.790658414363861,-1.790658414363861,,2.957305908203125,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,0,236,42824,,True
