case_id,frame,trace_index,stage_route_index,stage_label,player_x,player_y,bombs,power,observed_bomb_cost,post_hit_bomb_stock_decrease,deathbomb_requested,active_bullets,active_lasers,active_items,pipeline_clearance_at_hit,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,action_lag,action,nearest_bullet_slot,nearest_bullet_clearance,nearest_laser_slot,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,spell_id,spell_name,spell_attribution_status
LUN-S0-F3386-T1,3386,0,0,Stage 1,367.51470947265625,432.0,3.0,20.0,0.0,0.0,False,37,0,0,-2.3604919463396072,-2.3604919463396072,,2,up_fast,1302,1.01397705078125,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,6,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S0-F5549-T1,5549,0,0,Stage 1,8.0,432.0,3.0,5.0,0.0,0.0,False,301,0,0,-5.942052930593491,-5.942052930593491,,2,up_fast,639,3.621063232421875,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,6,0,,playfield_boundary;fast_mode,1,蛍符「地上の彗星」,resolved_live_spell_state
LUN-S0-F6829-T1,6829,0,0,Stage 1,376.0,432.0,3.0,8.0,0.0,0.0,False,57,0,0,-1.3871337920427322,-1.3871337920427322,,2,up_fast,1305,4.65728759765625,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,6,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S0-F7303-T1,7303,0,0,Stage 1,8.0,432.0,4.0,1.0,1.0,1.0,False,378,0,0,-3.1261972188949585,-3.1261972188949585,,3,right_fast,584,-0.08928680419921875,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,8,0,,playfield_boundary,,,no_active_spell_at_hit
LUN-S0-F13822-T1,13822,0,0,Stage 1,362.2000732421875,432.0,3.0,9.0,0.0,0.0,False,365,0,0,-0.0410824716091156,-1.5211232900619507,,3,right_fast,638,-1.174713134765625,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,11,0,,playfield_boundary;fast_mode,5,灯符「ファイヤフライフェノメノン」,resolved_live_spell_state
LUN-S1-F23267-T1,23267,0,1,Stage 2,8.0,432.0,3.0,14.0,0.0,0.0,False,121,0,0,-1.6877499520778656,-1.6877499520778656,,2,right_fast,41,3.468170166015625,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,3,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S1-F23849-T1,23849,0,1,Stage 2,8.0,16.0,3.0,0.0,0.0,0.0,False,142,0,0,-3.43597611784935,-3.43597611784935,,2,stay,721,4.625327972248661,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,6,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S2-F50865-T1,50865,0,2,Stage 3,376.0,407.51470947265625,3.0,22.0,0.0,0.0,False,329,0,0,-2.4065124541521072,-2.4065124541521072,,2,right,154,1.417633056640625,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,10,0,,playfield_boundary;fast_mode,35,産霊「ファーストピラミッド」,resolved_live_spell_state
LUN-S2-F51992-T1,51992,0,2,Stage 3,376.0,420.686279296875,3.0,7.0,0.0,0.0,False,323,0,0,-1.5659237802028656,-1.5659237802028656,,3,up_fast,1301,0.508575439453125,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,10,0,,playfield_boundary;fast_mode,35,産霊「ファーストピラミッド」,resolved_live_spell_state
LUN-S2-F53532-T1,53532,0,2,Stage 3,35.28319549560547,432.0,4.0,26.0,1.0,1.0,False,541,0,0,-2.5486806631088257,-2.5486806631088257,,3,up_fast,360,4.800018310546875,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,4,0,,playfield_boundary,,,no_active_spell_at_hit
LUN-S2-F59169-T1,59169,0,2,Stage 3,376.0,432.0,5.0,40.0,2.0,2.0,False,381,0,0,-3.7137329131364822,-3.7137329131364822,,2,up_fast,165,1.3060302734375,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,6,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S2-F60357-T1,60357,0,2,Stage 3,10.8284273147583,429.17156982421875,3.0,25.0,0.0,0.0,False,227,0,0,-4.049823001027107,-4.049823001027107,,3,up_right_fast,1307,-1.12744140625,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,7,0,,playfield_boundary;fast_mode,38,始符「エフェメラリティ137」,resolved_live_spell_state
LUN-S3-F74051-T1,74051,0,3,Stage 4A / Reimu,8.0,432.0,3.0,34.0,0.0,0.0,False,508,0,0,-3.5253354012966156,-3.5253354012966156,,2,down_left_fast,809,4.369476318359375,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,7,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S3-F75231-T1,75231,0,3,Stage 4A / Reimu,34.38858413696289,432.0,3.0,21.0,0.0,0.0,False,604,0,0,-2.3030758798122406,-2.3030758798122406,,2,left_fast,1305,4.713234906693786,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,11,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S3-F76128-T1,76128,0,3,Stage 4A / Reimu,376.0,427.95672607421875,3.0,8.0,0.0,0.0,False,599,0,0,-2.5094177275896072,-2.5094177275896072,,2,up_fast,634,1.4134521484375,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,10,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S3-F82114-T1,82114,0,3,Stage 4A / Reimu,367.51470947265625,411.51470947265625,5.0,7.0,2.0,2.0,False,503,0,0,3.1122675389051437,-5.92974853515625,,2,up_fast,454,-1.597930908203125,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,12,0,,fast_mode,,,no_active_spell_at_hit
LUN-S3-F84268-T1,84268,0,3,Stage 4A / Reimu,8.0,432.0,3.0,1.0,0.0,0.0,False,610,0,0,-2.4235287606716156,-2.4235287606716156,,2,up_fast,1438,3.97918701171875,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,7,0,,playfield_boundary;fast_mode,57,夢境「二重大結界」,resolved_live_spell_state
LUN-S3-F85015-T1,85015,0,3,Stage 4A / Reimu,8.0,432.0,4.0,0.0,1.0,1.0,False,616,0,0,-1.5561467111110687,-1.5561467111110687,,2,right,646,5.824930223160498,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,3,0,,playfield_boundary;fast_mode,57,夢境「二重大結界」,resolved_live_spell_state
LUN-S3-F85409-T1,85409,0,3,Stage 4A / Reimu,8.0,432.0,4.0,0.0,1.0,1.0,False,607,0,0,-3.8413912802934647,-3.8413912802934647,,2,right_fast,250,1.22564697265625,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,6,0,,playfield_boundary;fast_mode,57,夢境「二重大結界」,resolved_live_spell_state
LUN-S3-F94969-T1,94969,0,3,Stage 4A / Reimu,8.0,432.0,4.0,2.0,1.0,1.0,False,873,0,0,-2.7442074716091156,-2.7442074716091156,,2,up_fast,287,3.7669079303741455,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,6,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S3-F95463-T1,95463,0,3,Stage 4A / Reimu,26.89999771118164,432.0,3.0,3.0,0.0,0.0,False,752,0,0,-1.3265744149684906,-1.3265744149684906,,2,down_fast,486,7.482330322265625,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,12,0,,playfield_boundary,,,no_active_spell_at_hit
LUN-S3-F103699-T1,103699,0,3,Stage 4A / Reimu,229.26002502441406,432.0,4.0,3.0,1.0,1.0,False,1181,0,0,-2.2514373809099197,-2.2514373809099197,,3,left_fast,1096,2.4371185302734375,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,5,0,,playfield_boundary;pool_density_over_1000;fast_mode,65,神技「八方龍殺陣」,resolved_live_spell_state
LUN-S3-F104049-T1,104049,0,3,Stage 4A / Reimu,367.51470947265625,432.0,3.0,0.0,0.0,0.0,False,1139,0,0,0.09367065131664276,-2.3566345274448395,,3,left_fast,1006,-1.956634521484375,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,8,0,,playfield_boundary;pool_density_over_1000;fast_mode,65,神技「八方龍殺陣」,resolved_live_spell_state
LUN-S3-F109693-T1,109693,0,3,Stage 4A / Reimu,376.0,432.0,3.0,9.0,0.0,0.0,False,87,0,0,-3.31427001953125,-3.31427001953125,,2,up_fast,1041,-2.225494384765625,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,6,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S3-F111806-T1,111806,0,3,Stage 4A / Reimu,9.62634563446045,425.194091796875,3.0,0.0,0.0,0.0,False,641,0,0,-1.3157399892807007,-1.3157399892807007,,3,right_fast,1264,0.811676025390625,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,4,0,,playfield_boundary,69,回霊「夢想封印　侘」,resolved_live_spell_state
LUN-S3-F112831-T1,112831,0,3,Stage 4A / Reimu,8.0,432.0,3.0,0.0,0.0,0.0,False,742,0,0,-3.6395019590854645,-3.6395019590854645,,3,right_fast,1438,3.716552734375,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,8,0,,playfield_boundary,69,回霊「夢想封印　侘」,resolved_live_spell_state
LUN-S3-F115509-T1,115509,0,3,Stage 4A / Reimu,215.16433715820312,385.60009765625,4.0,9.0,1.0,1.0,False,1000,0,0,-1.6935607939958572,-1.6935607939958572,,2,down_left_fast,315,0.66766357421875,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,14,0,,pool_density_over_1000;fast_mode,73,大結界「博麗弾幕結界」,resolved_live_spell_state
LUN-S5-F120668-T1,120668,0,5,Stage 5,376.0,432.0,3.0,7.0,0.0,0.0,False,1237,0,0,-1.2488281279802322,-1.2488281279802322,,2,down_left,681,0.8505859375,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,9,0,,playfield_boundary;pool_density_over_1000,,,no_active_spell_at_hit
LUN-S5-F121386-T1,121386,0,5,Stage 5,8.0,431.88568115234375,3.0,2.0,0.0,0.0,False,997,0,0,-1.589040845632553,-1.589040845632553,,3,up_fast,271,5.642275029306861,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,4,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S5-F122309-T1,122309,0,5,Stage 5,8.0,432.0,3.0,2.0,0.0,0.0,False,557,0,0,-0.32457275688648224,-1.7788137197494507,,3,down_right_fast,342,-1.432403564453125,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,14,0,,playfield_boundary,,,no_active_spell_at_hit
LUN-S5-F129537-T1,129537,0,5,Stage 5,376.0,421.6263427734375,3.0,0.0,0.0,0.0,False,910,0,0,-1.9524892568588257,-1.9524892568588257,,3,down_fast,121,3.311767578125,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,4,0,,playfield_boundary,,,no_active_spell_at_hit
LUN-S5-F130687-T1,130687,0,5,Stage 5,8.0,432.0,3.0,0.0,0.0,0.0,False,343,0,0,-3.2606564462184906,-3.2606564462184906,,3,up_fast,1362,4.491058349609375,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,4,0,,playfield_boundary,,,no_active_spell_at_hit
LUN-S5-F147765-T1,147765,0,5,Stage 5,8.0,432.0,5.0,9.0,2.0,2.0,False,1005,0,0,-5.245537996292114,-5.245537996292114,,4,stay,341,3.8626708984375,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,15,0,,playfield_boundary;pool_density_over_1000;fast_mode,107,狂視「狂視調律(イリュージョンシーカー)」,resolved_live_spell_state
