case_id,frame,trace_index,stage_route_index,stage_label,player_x,player_y,bombs,power,observed_bomb_cost,post_hit_bomb_stock_decrease,deathbomb_requested,active_bullets,active_lasers,active_items,pipeline_clearance_at_hit,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,action_lag,action,nearest_bullet_slot,nearest_bullet_clearance,nearest_laser_slot,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,spell_id,spell_name,spell_attribution_status
LUN-S0-F14813-T1,14813,0,0,Stage 1,368.22186279296875,430.3736572265625,3.0,11.0,0.0,0.0,False,457,0,105,-4.050908446311951,-4.050908446311951,,3,stay,446,3.980987548828125,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,4,237,14576,playfield_boundary,5,灯符「ファイヤフライフェノメノン」,resolved_live_spell_state
LUN-S1-F21936-T1,21936,0,1,Stage 2,65.35971069335938,431.9293212890625,4.0,8.0,1.0,1.0,False,109,0,35,-1.3267051726579666,-1.3267051726579666,1.7345633190015555,2,left_fast,80,1.069893160522083,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,11,150,21786,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S1-F23958-T1,23958,0,1,Stage 2,135.4696807861328,16.0,3.0,6.0,0.0,0.0,False,440,0,2,-2.2705528289079666,-4.5,-17.458480896372464,3,up_right_fast,647,3.601169018911938,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,10,81,23877,corridor_deadline_miss;fast_mode,,,no_active_spell_at_hit
LUN-S1-F25723-T1,25723,0,1,Stage 2,376.0,432.0,4.0,11.0,1.0,1.0,False,225,0,4,-2.8272277861833572,-2.8272277861833572,,2,up_fast,236,2.429931640625,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,13,238,25485,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S1-F39103-T1,39103,0,1,Stage 2,376.0,432.0,3.0,3.0,0.0,0.0,False,82,0,25,-4.562322020530701,-4.562322020530701,-6.937797546386719,2,up_fast,1133,-1.71649169921875,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,21,123,38980,playfield_boundary;corridor_deadline_miss;fast_mode,,,no_active_spell_at_hit
LUN-S1-F39508-T1,39508,0,1,Stage 2,14.045129776000977,432.0,3.0,2.0,0.0,0.0,False,155,0,2,-3.0338803231716156,-3.0338803231716156,12.189468322377536,2,right_fast,975,3.9479427337646484,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,6,48,39460,playfield_boundary,,,no_active_spell_at_hit
LUN-S1-F40758-T1,40758,0,1,Stage 2,353.39471435546875,432.0,3.0,2.0,0.0,0.0,False,353,0,0,-2.8665344268083572,-2.8665344268083572,,5,up_fast,690,0.3232421875,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,14,239,40519,playfield_boundary;fast_mode,24,鷹符「イルスタードダイブ」,resolved_live_spell_state
LUN-S1-F41596-T1,41596,0,1,Stage 2,27.431148529052734,432.0,3.0,9.0,0.0,0.0,False,403,0,0,-1.6575805693864822,-2.897218108177185,,3,right_fast,170,-2.5508079528808594,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,10,210,41386,playfield_boundary;fast_mode,24,鷹符「イルスタードダイブ」,resolved_live_spell_state
LUN-S1-F44292-T1,44292,0,1,Stage 2,33.7348747253418,427.4000244140625,3.0,20.0,0.0,0.0,False,542,0,45,-1.3594581633806229,-1.4423008859157562,,3,right_fast,1313,-1.1594581604003906,,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,6,239,44053,,28,夜盲「夜雀の歌」,resolved_live_spell_state
LUN-S2-F47284-T1,47284,0,2,Stage 3,360.0,408.91705322265625,3.0,17.0,0.0,0.0,False,218,0,5,-2.9231625497341156,-2.9231625497341156,,2,down_left_fast,150,4.90716552734375,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,26,240,47044,fast_mode,,,no_active_spell_at_hit
LUN-S2-F47691-T1,47691,0,2,Stage 3,8.0,411.47491455078125,3.0,2.0,0.0,0.0,False,526,0,2,-1.4663144052028656,-1.4663144052028656,-31.400858474757733,3,down_left,1513,1.0377197265625,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,11,103,47588,playfield_boundary;corridor_deadline_miss,,,no_active_spell_at_hit
LUN-S2-F48145-T1,48145,0,2,Stage 3,365.5234375,432.0,3.0,1.0,0.0,0.0,False,526,0,305,-2.4727230966091156,-2.4727230966091156,-4.119942903522556,2,up_fast,132,2.216339111328125,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,5,152,47993,playfield_boundary;corridor_deadline_miss;fast_mode,,,no_active_spell_at_hit
LUN-S2-F48520-T1,48520,0,2,Stage 3,376.0,432.0,3.0,0.0,0.0,0.0,False,519,0,0,-2.4256469756364822,-2.4256469756364822,-2.7633590235350987,3,up_fast,917,0.758148193359375,,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,12,70,48450,playfield_boundary;corridor_deadline_miss;fast_mode,,,no_active_spell_at_hit
